ESPÉCIE,AUTOR,NOME_VULGAR,LINK,SINONIMIA_BOTANICA,FAMILIA,FORMA_BIOLOGICA,FLORESTA_OMBROFILA_DENSA,FLORESTA_OMBROFILA_ABERTA,FLORESTA_OMBROFILA_MISTA,FLORESTA_ESTACIONAL_SEMIDECIDUAL,FLORESTA_ESTACIONAL_DECIDUAL,SISTEMA_EDAFICO_PRIMEIRA_OCUPACAO,VEGETACAO_INFLUENCIA_MARINHA,VEGETACAO_INFLUENCIA_FLUVIOMARINHA,VEGETACAO_INFLUENCIA_FLUVIAL,CAMPOS_RUPESTRES,SASV,AREAS_ANTROPIZADAS,OBSERVACAO_SOLO,TEXTURA_CASCALHO,TEXTURA_ARENOSO,TEXTURA_MEDIO,TEXTURA_ARGILOSO,FERTILIDADE_ALTA,FERTILIDADE_BAIXA,BEM_DRENADO,MAL_DRENADO,MODERADAMENTE_DRENADO,SUJEITO_ALAGAMENTO,RASO_CASCALHO,RASO_ROCHA,PROFUNDO,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PE,PI,PB,PR,RJ,RN,RO,RR,RS,SE,SC,SP,TO,TOL_SOMBRA,ESTRATEGIA_OCUPACAO,PERSISTENCIA_FOLHAGEM,PERIODO_FLORACAO,PERIODO_FRUTIFICACAO,PERIODO_COLETA_SEMENTE,ANIMAL_ATRAIDO,ATRATIVO,TIPO_INTERACAO,ESTRATEGIA_DISPERSAO,COLETA_PROCESSAMENTO,SEMENTE_P_KG,PESO_FRESCO,CONDICOES_ARMAZENAMENTO,PRAZO_ARMAZENAMENTO,TOL_DESSECACAO,TOL_FRIO,TIPO_DORMENCIA,TRAT_GERMINACAO,PADRONIZACAO,LENTO,RAPIDO,MUITO_RAPIDO,ALTURA_MEDIA,TEMPO_MEDIO_PLANTIO,DESENVOL_MUDA_CAMPO,FBN,USO_ALIMENTACAO,USO_ARTESANATO,USO_AROMATICO,USO_CORT,USO_COND,USO_COSMETICO,USO_FORRAGEM,USO_FIBRAS,USO_LATEX,USO_MADEIRA,USO_MEDICINAL,USO_MELIFERA,USO_OLEO,USO_ORNAMENTAL,USO_RESINA,USO_RAD,USO_TANINO,USO_TINTURA,USO_TOXICO,REFERENCIA,REFERENCIA1,REFERENCIA2,REFERENCIA3,REFERENCIA4,AMEACADO
Machaerium scleroxylon,Tul.,Caviúna; Bico-de-pato; Cabiúna; Candeia; candeia-do-sertão; caviúna-rajada,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231688/1/Especies-Arboreas-Brasileiras-vol-1-Caviuna.pdf,Machaerium nyctitans var. scleroxylon (Tul.) Hassl.,Fabaceae,Árvore,1,0,0,1,1,0,0,0,0,0,0,1,"Ocorre, naturalmente, sem solos de fertiliade variável. Contudo, nos solos de boa fertilidade química, profundos, bem drenados e de textura argilosa, seu crescimento é melhor",0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,sim,diversidade,Perenifólia,out-dez,abr-jul (PR); abr-set(SP); ago-dez(MG);,-,-,-,-,anemocórica,os frutos devem ser colhidos quando a sâmara passa da coloração verde para marrom-castanho. A extração da semente é feita manualmente.,4250,"235,2941176","Quando armazenadas em câmara fria, mantêm a capacidade de germinação integral até por 2 anos.",-,-,sim,sem dormência,"Para acelerar a germinação recomenda-se imersão em água fria, por 24 a 48 horas, para embebição.",Ótima,0,1,0,-,6,lento a moderado,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"(CARVALHO,2003)",http://reflora.jbrj.gov.br/,,,,DD
Machaerium stipitatum,Vogel,Monjolinho; João-pelado; Farinha-seca; Jacarandá-branco; Sapuvá; Sapuvussu; Canela-brejo,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232411/1/Especies-Arboreas-Brasileiras-vol-2-Sapuva.pdf,Machaerium minutiflorum Tul.; Machaerium paniculatum Allemão ex Benth.,Fabaceae,Árvore,1,0,1,1,1,0,0,0,0,0,0,0,Ocorre em solos úmidos como em solos rasos e rochosos.,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,não,diversidade,semicaducifólia,fevereiro - abril,abril - setembro,setembro - outubro,-,-,-,anemocórica,Colher os frutos quando iniciarem a queda espontânea. Os frutos podem ser utilizados diretamente na semeadura.,6300,"158,00",As sementes deverão estar acondicionadas em sacos plásticos dentro de câmara fria.,30 dias,-,-,-,-,regular,1,0,0,30-40,7,lento,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,campos ferrugineos em MG,,"CARVALHO, 2006","NASCIMENTOet al.,2004","BOTRELet al., 2006",DD
Maclura tinctoria,(L.) D.Don ex Steud.,"Taiúva, tatajuva, espinheiro-branco; espinheiro-bravo",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231779/1/Especies-Arboreas-Brasileiras-vol-1-Taiuva.pdf,Broussonetia tinctoria (L.) Kunth; Morus tinctoria L.; Chlorophora tinctoria (L.) Gaudich. ex B.D.Jackson; Chlorophora tinctoria (L.) Gaudich. ex Benth.; Chlorophora tinctoria var. zanthoxylon (L.) Hemsl.; Morus zanthoxylon L.; Broussonetia plumerii Spreng.; Broussonetia xanthoxylon Mart.,Moraceae,"Arbusto, Árvore",1,0,0,1,1,0,1,0,0,0,0,0,Ocorre em solos aluviais,0,0,0,1,1,0,1,0,0,0,-,-,-,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,-,-,semicaducifólia,"ago.-out (PI), ago-jan (SP)","dez-fev. (MG), dez-abr. (SP)",-,aves e morcegos,frutos e sementes,dispersão,zoocórica,"Os frutos devem ser coletados quando apresentarem coloração escura. Em seguida, é necessário maceração para separação das sementes, estas devem serem secas ao ar livre",250000-384000,-,recalcitrante,curto período,0,1,não apresenta dormência,não é necessário,bom,0,1,0,15-30 m,4 meses,moderado,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,"CARVALHO, P.E.R. Espécies Arbóreas Brasileiras. Coleção Espécies Arbóreas Brasileiras, vol. 1.  Brasília: Embrapa Informações Tecnológica; Colombo, PR: Embrapa Florestas, 2003. 858p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 1 – 5. ed. Nova Odessa, SP. 251p.","Pederneiras, L.C. Maclura in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB10186>. Acesso em: 19 jun. 2022",,,NE
Magnolia ovata,(A.St.-Hil.) Spreng.,Pinha-do-brejo,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,"Talauma ovata A.St.-Hil.; Talauma irwiniana Lozano; Talauma fragrantissima Hook.; Talauma sellowiana A.St.-Hil.; Magnolia selloi Spreng.; Talauma dubia Eichler; Talauma selloi (Spreng.) Steud.; Magnolia sellowiana (A.St.-Hil.) Govaerts; Magnolia fragrantissima (Hook.) Linden; Magnolia irwiniana (Lozano) Govaerts; Magnolia brasiliensis C.O. Azevedo, A.F.P. Machado & A. Vázquez; Magnolia paranaensis A.Vázquez",Magnoliaceae,Árvore,1,0,0,1,0,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,-,-,-,-,-,Junho-Agosto,"Aves: Columbidae (Leptotila sp.), Tinamidae (Crypturellus parvirostris), Emberizidae (Dacnis cayana, Tathyponus coronatus, Tangara cayana, Thraups sayaca, Trichothraupis melanops), Tyrannidae (Myiarchus ferox), Turdinae (Turdus amaurochalinus, Turdus rufiventris), Vireo",Frutos,Dispersão,zoocórica,"Coletar os frutos de coloração verde e ainda fechados ou já com algumas rachaduras direto da árvore, com podão, quando so outros frutos da árvore já tiverem começado a se abrir, expondo as sementes com arilo vermelho.",10250,"97,56097561",Apresentam comportamento recalcitrante ao armazenamento,< 6  meses,não,,sem dormência,não é necessário,Boa,0,1,0,30,4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NOGUEIRA;BRANCALION,2016)",,,,,DD
Manilkara salzmannii,(A.DC.) H.J.Lam,Maçaranduba; maçaranduba-de-fruta-vermelha; maçaranduba-mirim; maçaramduba-preta;,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Mimusops salzmannii var. mucronulata A.DC.; Mimusops salzmanni var. mucronulata DC.; Kaukenia salzmannii (A.DC.) Kuntze; Mimusops salzmannii A.DC.; Mimusops salzmanni A.DC.,Sapotaceae,Árvore,1,0,0,0,0,0,1,0,0,0,0,0,Geralmente encontrada em solos úmidos da restinga,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,indiferente,diversidade,Perenifólia,outubro-novembro,janeiro-fevereiro,-,-,-,-,zoocórica,"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão logo após a queda. Em seguida, deixá-los amontoados em saco plástico durante alguns dias até sua decomposição parcial para retirada das sementes.",3800,"263,16",-,-,sem informação,sem informação,-,Não há necessidade,baixa,0,0,0,-,-,moderado,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,,,,,,DD
Manilkara subsericea,(Mart.) Dubard,"Maçaranduba, sapatão, abiu-da-restinga",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231851/1/Especies-Arboreas-Brasileiras-vol-4-Macaranduba.pdf,Mimusops subsericea var. acmanthera Miq.; Mimusops subsericea var. massaranduba Pierre; Mimusops subsericea var. acuminata Pierre; Kaukenia subsericea (Mart.) Kuntze; Manilkara floribunda (Mart.) Dubard; Mimusops floribunda Mart.; Mimusops subsericea Mart.; Synarrhena floribunda (Mart.) Fisch. & C.A.Mey.; Synarrhena subsericea (Mart.) Fisch. & C.A.Mey.; Kaukenia floribunda (Mart.) Kuntze,Sapotaceae,"Árvore, arbusto",1,0,0,1,0,0,1,0,0,0,0,0,Ocorre no tabuleiro arenoso da planície litorânea.,0,1,0,0,-,-,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,-,-,perenifólia,,dez-jan.,-,aves,frutos,dispersão,zoocórica,Os frutos podem ser coletados diretamente do chão após a queda natural. As sementes podem ser extraídas em água corrente,2300-3000,-,recalcitrante,curto período,0,-,-,não é necessário,bom,1,0,0,4-26m,9 meses,lento,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 4. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2010, 355p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 3 – 2. ed. Nova Odessa, SP. 336p","Alves-Araújo, A.; Almeida Jr., E.B. Manilkara in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB39448>. Acesso em: 18 jun. 2022",,,LC
Margaritaria nobilis,L.f.,Figueirinha; botãozinho; cabelo-de-cotia; café-bravo; fruto-de-jacamin,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Phyllanthus antillanus var. pedicellaris Müll.Arg.; Phyllanthus antillanus var. concolor Müll.Arg.; Cicca antillana var. pedicellaris Griseb.; Phyllanthus nobilis var. peruvianus Müll.Arg.; Phyllanthus nobilis var. pavonianus (Baill.) Müll.Arg.; Phyllanthus nobilis var. panamensis Müll.Arg.; Phyllanthus nobilis var. genuinus Müll.Arg.; Phyllanthus nobilis var. riedelianus Müll.Arg.; Phyllanthus nobilis var. hypomalacus Standl.; Phyllanthus nobilis var. guyanensis Müll.Arg.; Phyllanthus nobilis var. martii Müll.Arg.; Phyllanthus nobilis var. brasiliensis Müll.Arg.; Margaritaria nobilis var. hypomalaca (Standl.) Dugand; Diasperus antillanus (A.Juss.) Kuntze; Cicca antillana A.Juss.; Cicca chinensis Baill.; Cicca pavoniana Baill.; Margaritaria adelioides Rich. ex Baill.; Margaritaria alternifolia L.; Phyllanthus sinicus Müll.Arg.; Phyllanthus heteromorphus Rusby; Phyllanthus nobilis var. antillanus (A.Juss.) Müll.Arg.; Phyllanthus nobilis (L.f.) Müll.Arg.; Phyllanthus antillanus var. hypomalacus (Standl.) Lundell; Cicca sinica Baill.; Cicca surinamensis Miq.; Phyllanthus antillanus (A.Juss.) Müll.Arg.,Phyllanthaceae,Árvore,1,0,1,1,0,1,0,0,1,0,0,0,Ocorre naturalmente em solos profundos de textura média a argilosa; tolera indundação temporária; pode ser utilizada na restauração de matas ciliares,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,sim,recobrimento,Caducifólia,outubro - dezembro,agosto,agosto,-,-,-,autocórica,Colher os frutos diretamente da árvore quando iniciarem a abertura e queda espontânea. Deixar secar à sombra cobertos por uma tela.,19200,"52,08333333",Permanecem viáveis por 60 dias,-,sem informação,sem informação,-,-,ótima,0,0,0,-,-,rápido,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,,"ALVINOet al., 2005",,"CYSNEIROS, 2015",,DD
Matayba elaeagnoides,Radlk.,Cuvantã; Mataiba; Miguel-pintado; Pau-de-pombo; Camboatá-branco,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232486/1/Especies-Arboreas-Brasileiras-vol-2-Miguel-Pintado.pdf,Matayba pallens Radlk.,Sapindaceae,Árvore,1,0,1,1,1,0,1,0,0,0,0,0,"Ocorre em diversos tipos de solos. Desde fertilidade química baixa. Também ocorre em solos úmidos e em solos profundos e bem drenados, não ocorrendo nos solos muito enxutos ou de muito ráida drenagem.",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,não,diversidade,semicaducifólia,setembro - novembro,dezembro - janeiro,janeiro - fevereiro,-,-,-,zoocórica,"Colher os frutos após a abertura espontânea, levá-los ao sol para completar a abertura e liberação das sementes. ____ necessidade de retirar o arilo que recobre a semente.",3250,"307,00","não devem ser armazenadas, pois são recalcitrante. Se o armazenamento for necessário ele deve ser curto.",3 meses,Não,Não,-,-,boa,1,0,0,30-40,4-6,lento,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"LIEBSCH & SANDRA, 2009","CARVALHO, 2006","SANQUETTAet al., 2010",,"FUNDAÇÃO FLORESTAL, 2008",DD
Matayba guianensis,Aubl.,Pau-da-digestão; atou-aou; jatuá-ibá; jatuá-uba; batabaiba; mataiba; olho-de-cotia; camboatá-branco; brazeiro; camboatã; canela-de-negro,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Matayba guianensis form. micrantha Aubl.; Talisia prancei Guarim,Sapindaceae,Arbusto/Árvore,1,0,0,1,0,1,0,0,1,1,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,sim,recobrimento,semicaducifólia,outubro - dezembro,novembro - janeiro,-,avifauna,-,Dispersão,zoocórica,"Para a obtençao de sementes os frutos devem ser colhidos diretamente da árvore após o início de sua abertura espontânea, cortando-se os ramos frutíferos inteiros e deixando-os ao sol para completar a abertura e liberação das sementes.",4800,"11,70960187",-,-,-,-,-,-,ótima,0,0,0,-,-,rápido,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,DD
Melanoxylon brauna,Schott,"Braúna-preta, braúna-da-mata, braúna",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231893/1/Especies-Arboreas-Brasileiras-vol-4-Brauna-Preta.pdf,Melanoxylon braunia Schott; Recordoxylon irwinii R.S. Cowan,Fabaceae,Árvore,1,0,0,1,1,0,0,0,1,0,0,1,"Ocorre, de preferência, em solos com menor teor de argila. É encontrada em solos secos e de fertilidade média a baixa.",0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,não,diversidade,semicaducifólia,Jan-Mar(RJ); Mar-Jun(MG); Mai (BA),Ago-Set (RJ); Ago-Nov (MG); Set-Out (ES),-,-,-,-,autocórica,"A abertura do fruto e a liberação das sementes são indicativos da ocasião da colheita. Para beneficiamento, os frutos devem ser dispostos em bandejas, em seguida, expostos ao sol, para secagem.",18900,"52,91005291",As sementes são de comportamento fisiológico recalcitrante. Elas devem ser usadas logo após seu beneficiamento.,-,não,não,-,não há necessidade,-,1,0,0,-,>6 meses,lento,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,"CARVALHO, 2006v2",,,,,VU
Metrodorea stipularis,Mart.,"Chupa-fevo; caputana, caputuva, cataguaí, laranjeira-do-mato; limoeiro-do-mato",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,,Rutaceae,Árvore,1,0,0,1,0,0,0,0,0,0,0,0,"Uma árvore de sub-bosque em florestas, encontrada quase exclusivamente em formações densas, primárias",0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,sim,diversidade,Perenifólia,novembro-janeiro,Junho-Julho,-,-,-,-,-,Colher os frutos diretamente da árvore quando iniciarem a abertura e liberação espontânea das sementes. Em seguida deixá-los ao sol para completar a abertura.,13500,"74,07","armazenamento a -20°C, sendo classificadas como ortodoxas.",-,sim,sem informação,sem dormência,não há necessidade,regular,1,0,0,-,9 a 10,lento,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,,,DD
Miconia albicans,(Sw.) Steud.,Canela de Velho,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Miconia albicans (Sw.)Triana,Melastomataceae,Arbusto/Árvore,0,0,0,1,0,0,1,0,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-,-,-,-,-,-,"Aves: Passeriformes (Emberizidae: Schistochlamys ruficapillus, Tangara desmaresti)",Frutos,Dispersão,,,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,DD
Miconia cinnamomifolia,(DC.) Naudin,Jacatirão-Açu; Carvalho-Vermelho; casca-de-arroz; Guaratã; jacatirão,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231729/1/Especies-Arboreas-Brasileiras-vol-1-Jacatirao-Acu.pdf,Miconia candolleana Triana; Miconia martiusiana DC.,Melastomataceae,Arbusto/Árvore,1,0,0,1,0,0,1,0,0,1,0,0,"Ocorre,naturalmente, em vários tipos de solos, entre os quais em areia quartzosa.Normalmente, os solos apresentam boa drenagem e textura que varia de arenosa a areno-argilosa",0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,indiferente,diversidade,Perenifólia,Nov-Jan(PR); Dez-Jan(SC),Fev-Mar(SP); Mar-Mai(MG/PR/SC),-,"Aves: Pipridae: Machaeropterus regulus, Pipra pipra, Pipra rubrocapilla / Tyrannidae: Capsiemps flaveola, Cnemotriccus fuscatus, Megarynchus pitangua / Turdidae:",Frutos,Dispersão,Autocórica (barocórica),"Podem ser coletados tanto frutos maduros, de coloração violáceo-escura como frutos imaturos, de coloração verde, pois estes possuem sementes viáveis por um período de 7 a 8 meses.",2450000,"0,41",Apresentam comportamento ortodoxo em relação ao armazenamento. Sementes de frutos verde e maduros beneficiadas e armazenadas em temperaturas de +3°C e -1°C mantiveram integral poder germinativo por período de 24 meses.,-,sim,sim,Fisiológica,"Um método prático recomendado para a superação da dormência é usar sbstrato na sementeira, pó de xaxim.",irregular,1,0,0,-,15,-,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,"(CARVALHO,2003)",http://reflora.jbrj.gov.br/,,,,DD
Miconia formosa,Cogn.,"Cabuçu, pau-de-copa, jacatirão",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Miconia gigantea Cogn.; Miconia cabucu Hoehne; Miconia altissima Cogn.; Miconia mourae Cogn.; Miconia ovalifolia Cogn.,Melastomataceae,Árvore,1,0,0,0,0,0,0,0,0,0,0,0,"Ocorre em vários tipos de solos, tais como em areia quartzosa.",0,1,1,1,-,-,1,0,0,0,-,-,-,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,-,-,perenifólia,"ago-nov (PR), set-out (SC)","out-jan. (SP), nov-mar (SC)",-,macaco-bugio ou guariba (Alouatta guariba) e aves,frutos,dispersão,zoocórica,"A maturação dos frutos ocorre de maneira irregular. Podem ser coletados tanto maduros como imaturos, pois as sementes são viáveis",357358,-,ortodoxo,-,1,0,dormência fotoblástica positiva,-,ruim,1,0,0,15 m,1 ano,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 3. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2008, 453p.","Goldenberg, R.; Bacci, L.F.; Caddah, M.K.; Meirelles, J. Miconia in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB9706>. Acesso em: 19 jun. 2022",,,,NE
Miconia sellowiana,Naudin,Mexirico; Jacatirão; língua-de-tamanduá; pixirica;,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232155/1/Especies-Arboreas-Brasileiras-vol-5-Mexerico.pdf,,Melastomataceae,Árvore,1,0,1,1,0,0,0,0,1,0,0,0,"Ocorre, em afloramentos de arenito.",0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,sim,diversidade,Perenifólia,Julho-Set (SP); Ago-Nov(DF/PR); Ago-Dez (MG),Abr-Ago(DF); Jun-Jan(SP),-,"Aves: Passeriformes (Emberizidae: Tangara desmaresti, Tangara cayana, Trichothraupis melanops, Tersina viridis) INSETOS: Abelhas",Frutos/Flores,Dispersão/Polinização,zoocórica,Podem ser colhidos tanto maduros (coloração violáceo-escuro) ou imaturos (coloração esverdeadas).,9000000,"0,1111111111","As sementes apresentam comportamento fisiológico ortodoxo em relação ao armazenamento, mantendo a viabilidade por mais de 1 ano",-,sim,-,sem dormência,não é necessário,irregular,1,0,0,-,9,Lento,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,"(CARVALHO,2014)",http://reflora.jbrj.gov.br/,,,,DD
Mimosa bimucronata,(DC.) Kuntze,Maricá; Espinheiro,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231740/1/Especies-Arboreas-Brasileiras-vol-1-Marica.pdf,Acacia bimucronata DC.,Fabaceae,Arbusto/Árvore,1,0,0,0,0,0,1,0,0,0,0,0,Adaptada a solos arenosos encharcados e mal drenados.,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,não,recobrimento,Caducifólia,janeiro -março,março - abril,abril - junho,-,-,-,anemocórica,"Após iniciarem abertura espontânea, levar os frutos para secarem ao sol.",105000,"9,523809524",Câmara seca em embalagem de papel kraft.,12 meses,sim,Sim,,Imersão em água a 80ºC por 1 minuto e permanência fora do aquecimento por 18h.,ótima,0,1,1,30-40,-,-,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,"FOWLER & MARTINS, 2001.","CAPPELATTI & SCHIMITTI, 2009","CARVALHO, 2003",,,DD
Mimosa flocculosa,Burkart,Bracatinga-da-branca; bracatinga-do campo; jurema; vassoura,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231674/1/Especies-Arboreas-Brasileiras-vol-1-Bracatinga-de-Campo-Mourao.pdf,Mimosa flocculosa var. robusta J.F.Macbr.,Fabaceae,"Árvore, arbusto",0,0,1,1,0,0,0,0,0,0,0,0,"Ocorre naturalmente em terrenos hidromórficos, com Gleissolo Melânico Aluminico, Gleissolo Háplico Tb Distrófico  e Cambissolo Húmico Aluminico Gleico, bem como em solos com melhores condições de drenagem, principalmente o Cambissolo Húmico Alumínico.",1,1,1,1,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-,perenifólia,fev-mai,jul.-out,-,-,-,dispersão,autocorica (barocórica) e zoocórica,"Colher os frutos diretamente da árvore quando iniciarem a deiscência. Feita a coleta, os frutos devem ser mantidos em ambiente ventilado para abertura completa das vagens. As sementes podem ser separadas em peneiras.",128000,-,ortodoxo,> 10 anos,1,1,dormência tegumentar,"Imersão em água a temperatura entre 60°C e 70°C, deixando em repouso na mesma água por 18 horas. Em laboratório pode se usar a escarificação em ácido sulfúrico por 1 minuto",ótimo,0,0,1,"1,5-8 m",3 meses,ótimo,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies Arbóreas Brasileiras. Coleção Espécies Arbóreas Brasileiras, vol. 1.  Brasília: Embrapa Informações Tecnológica; Colombo, PR: Embrapa Florestas, 2003. 245p.",,,,,NE
Mimosa pilulifera,(Burkart) Barneby,"Bracatinga-do-banhado, vassoura- branca",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232053/1/Especies-Arboreas-Brasileiras-vol-5-Bracatinga-do-Banhado.pdf,Mimosa simulans Burkart; Mimosa aparadensis Burkart; Mimosa pseudincana Burkart,Fabaceae,"Árvore, arbusto",1,0,1,1,0,0,0,0,1,0,0,0,"Tolera terrenos pedregosos e terraplanados. Solos mal drenados: orgânicos, Gliessolo Melânico alumínico e Gleissolo Háplico Tb distrófico são ótimos para seu desenvolvimento",0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-,-,perenifólia,mar-jul.,nov-jan,-,-,-,dispersão,autocorica (barocórica),"Os frutos podem ser colhidos diretamente da árvore, assim que começar a abertura natural. Após a colheita, devem ser deixados em ambiente ventilado, para abertura das vagens.",167000,-,ortodoxo,> 1 ano,1,1,dormência tegumentar,"Podem ser usados os seguintes tratamentos: Imersão das sementes em água, a temperaturas iniciais entre 70°C e 96°C, seguidas de repouso na mesma água por 18 horas fora do aquecimento; Imersão em ácido sulfúrico durante 12 minutos",ótimo,0,0,1,10 m,3 meses,ótimo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"CARVALHO, P.E.R. Espécies Arbóreas Brasileiras. Coleção Espécies Arbóreas Brasileiras, vol. 5.  Brasília: Embrapa Informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014. 155p.",,,,,NE
